#{"t_start": 1734092450.0880368, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-572.5,1000,6.127722
-34.0,1000,9.731231
-35.0,1000,13.84916
-32.0,1000,18.1337
-19.0,1000,22.372942
-14.0,1000,26.604403
-42.0,1000,30.874335
-45.0,1000,35.229151
-19.0,1000,39.489936
-28.0,1000,43.865956
-9.0,1000,48.112828
-10.0,1000,52.41472
-15.0,1000,56.769001
-29.0,1000,61.266943
-37.0,1000,65.647295
-16.0,1000,70.066223
-19.0,1000,74.546669
-24.0,1000,79.002749
-52.0,1000,83.491441
-42.0,1000,88.021713
-21.5,1000,92.828061
-22.0,1000,98.138522
-50.0,1000,103.398346
-18.0,1000,107.7513
-34.5,1000,111.771645
