#{"t_start": 1734049004.7562232, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-894.75,1000,2.205011
-838.0,1000,3.36941
-850.75,1000,5.898724
-809.75,1000,7.144777
-810.5,1000,9.644994
-802.75,1000,11.040574
-809.75,1000,13.681818
-776.5,1000,15.069729
-824.25,1000,17.604367
-774.75,1000,18.965475
-840.0,1000,21.62814
-767.0,1000,23.020374
-761.0,1000,25.675964
-729.75,1000,27.039562
-717.5,1000,29.636824
-727.25,1000,31.063138
-743.5,1000,33.954759
-719.5,1000,35.434847
-718.0,1000,38.816815
-720.0,1000,40.386819
-703.75,1000,43.592152
-745.75,1000,45.030152
-742.0,1000,47.723531
-758.75,1000,49.195129
-683.5,1000,52.138901
-690.25,1000,53.465938
