#{"t_start": 1734092330.2635245, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-856.0,1000,2.095492
-796.0,1000,3.200181
-854.5,1000,5.833003
-810.0,1000,7.114235
-822.0,1000,9.892468
-794.5,1000,11.267967
-794.5,1000,13.906618
-738.0,1000,15.248278
-693.0,1000,17.829552
-753.5,1000,19.17844
-766.0,1000,21.854172
-763.0,1000,23.221598
-734.0,1000,25.90518
-701.5,1000,27.24234
-691.5,1000,29.751262
-729.0,1000,31.087254
-708.0,1000,33.647371
-653.5,1000,35.073809
-657.0,1000,37.742656
-679.5,1000,39.12572
-710.5,1000,41.743125
-641.0,1000,43.069692
-641.0,1000,45.57409
-681.0,1000,46.932663
-679.5,1000,49.53327
-638.0,1000,50.94389
