#{"t_start": 1734096908.890827, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-960.833333,1000,11.055881
-929.5,1000,22.292167
-949.666667,1000,31.818249
-959.5,1000,41.581943
-963.666667,1000,51.480227
-995.333333,1000,61.32195
-956.333333,1000,71.277786
-991.166667,1000,80.643627
-1012.666667,1000,89.680246
-1088.5,1000,99.057043
-1032.333333,1000,108.646151
-1148.0,1000,118.515238
-1117.833333,1000,128.522168
-1127.0,1000,138.256156
-1335.5,1000,147.766551
-1491.5,1000,157.163017
-1434.0,1000,166.989149
-1447.333333,1000,176.634501
-1393.0,1000,186.711604
-1268.166667,1000,196.611621
-1459.833333,1000,205.593456
-1218.666667,1000,214.988826
-1301.833333,1000,223.952783
-1274.333333,1000,233.864272
-1520.0,1000,244.36857
