#{"t_start": 1734049784.6902795, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-1417.25,1000,6.144278
-1824.5,1000,12.766603
-1989.0,1000,20.807233
-1985.25,1000,28.123419
-1997.0,1000,35.174342
-1989.0,1000,43.603981
-1990.5,1000,50.895799
-1992.25,1000,56.197261
-1990.5,1000,61.787962
-1990.5,1000,66.915
-1988.0,1000,72.349521
-1989.75,1000,77.852637
-1987.75,1000,83.002845
-1995.5,1000,88.567762
-1994.5,1000,94.315392
-1992.0,1000,100.035295
-1988.0,1000,105.786402
-1992.5,1000,111.252906
-1993.0,1000,116.976406
-1985.75,1000,122.706083
-1985.5,1000,128.586037
-1986.25,1000,134.070432
-1976.5,1000,139.256016
-1988.5,1000,144.862194
-1997.0,1000,150.341855
