#{"t_start": 1734095813.9620588, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-1002.333333,1000,7.181424
-1004.333333,1000,14.494868
-1020.0,1000,21.948679
-1011.333333,1000,29.476897
-1020.0,1000,36.829114
-679.666667,1000,44.485973
-687.166667,1000,51.993196
-677.0,1000,59.547938
-667.833333,1000,66.80225
-704.333333,1000,74.294492
-685.833333,1000,81.731977
-678.666667,1000,89.067834
-669.333333,1000,96.412739
-683.666667,1000,103.829246
-683.833333,1000,111.056831
-688.333333,1000,117.995031
-682.0,1000,125.10896
-681.0,1000,131.946432
-673.0,1000,139.328634
-679.0,1000,145.689555
-665.666667,1000,151.341913
-676.166667,1000,157.000523
-670.666667,1000,162.732692
-682.5,1000,168.50093
-679.833333,1000,174.148001
